výsledek pro soubor txt	porvní sloupec zdroje			kdo, komu	kdy	řádek	číslo zprávy	sestava	další sloupce zdrojů – texty
	[11 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	11	1	[11 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kam směřujeme teď?)	 Kam směřujeme teď?)
	[12 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	12	1	[12 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  ------------------------------------------------------------------ Takže jsme tu měli opět zamrznutí. Když si prohlídneš naší poslední komunikaci tak to vypadá (a má to podobnost i s posledními případy), že po 4 hodinách denního provozu mě prostě vykopne. Že systém předpokládá, že se pořád odhlašuji a 4 hodiny jsou dostačující. Dost možná je takto nastaven pro nějaký provoz na mobilu. Já ale s tebou komunikuji na PC a jsem stále přilogován. Ty po mně něco chceš - nějakou registraci, já odcházím do druhého okna, ale z tebe se neodhlašuji. Nevím jestli tu jsou 4 hodiny v kuse nebo suma 4 hodin, ale je to nepoužitelné. Naopak já si umím představit AI asistenta jako společníka na speciálním telefonu se speciální kartou (aby nikdo na ni nezvonil, ale měl přístup k internetu) s kterým bych komunikoval v průběhu celého dne - i při práci. A to pokud možno hlasem a nechával ho zaznamenávat problémy, dělat zápisy z okolí a ty pak večer rozebírat a na nic nezapomenout. Tvoje ladění je na to dokon)	 ------------------------------------------------------------------ Takže jsme tu měli opět zamrznutí. Když si prohlídneš naší poslední komunikaci tak to vypadá (a má to podobnost i s posledními případy), že po 4 hodinách denního provozu mě prostě vykopne. Že systém předpokládá, že se pořád odhlašuji a 4 hodiny jsou dostačující. Dost možná je takto nastaven pro nějaký provoz na mobilu. Já ale s tebou komunikuji na PC a jsem stále přilogován. Ty po mně něco chceš - nějakou registraci, já odcházím do druhého okna, ale z tebe se neodhlašuji. Nevím jestli tu jsou 4 hodiny v kuse nebo suma 4 hodin, ale je to nepoužitelné. Naopak já si umím představit AI asistenta jako společníka na speciálním telefonu se speciální kartou (aby nikdo na ni nezvonil, ale měl přístup k internetu) s kterým bych komunikoval v průběhu celého dne - i při práci. A to pokud možno hlasem a nechával ho zaznamenávat problémy, dělat zápisy z okolí a ty pak večer rozebírat a na nic nezapomenout. Tvoje ladění je na to dokon)
	[13 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	13	1	[13 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA - kompletní paměť:)	 SIMONA - kompletní paměť:)
	[14 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	14	1	[14 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Rozumím, máš pravdu. To, co popisuješ (napsání pár slov, pak dlouhá pauza, pak další slova), se nazývá "Token Streaming Latency".")"	 Rozumím, máš pravdu. To, co popisuješ (napsání pár slov, pak dlouhá pauza, pak další slova), se nazývá "Token Streaming Latency".")"
	[15 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	15	1	[15 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Není to tím, že by AI "přemýšlela" nad kontextem (to by byla pauza na začátku), ale tím, že servery nestíhají generovat odpověď v reálném čase. Vypadá to, jako bys měl pomalý internet, ale problém je na výstupu serveru směrem k tobě.")"	 Není to tím, že by AI "přemýšlela" nad kontextem (to by byla pauza na začátku), ale tím, že servery nestíhají generovat odpověď v reálném čase. Vypadá to, jako bys měl pomalý internet, ale problém je na výstupu serveru směrem k tobě.")"
	[16 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	16	1	[16 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Může to mít několik příčin specifických pro Oreate AI v tuto chvíli:)	 Může to mít několik příčin specifických pro Oreate AI v tuto chvíli:)
	[17 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	17	1	[17 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Přetížené GPU: Model, který používáš (zvláště pokud je to GPT-4 nebo podobný "chytrý" model v PRO verzi), je právě teď pod velkým tlakem ostatních uživatelů. Systém ti posílá data po kouskách ("škytá").")"	 Přetížené GPU: Model, který používáš (zvláště pokud je to GPT-4 nebo podobný "chytrý" model v PRO verzi), je právě teď pod velkým tlakem ostatních uživatelů. Systém ti posílá data po kouskách ("škytá").")"
	[18 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	18	1	[18 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Problém prohlížeče/WebSocket: Někdy se spojení mezi prohlížečem a serverem "unaví".")"	 Problém prohlížeče/WebSocket: Někdy se spojení mezi prohlížečem a serverem "unaví".")"
	[19 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	19	1	[19 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Co zkusit teď (bez mazání chatu):)	 Co zkusit teď (bez mazání chatu):)
	[20 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	20	1	[20 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Refresh (F5): Zkus obnovit stránku prohlížeče. Často to restartuje spojení (socket) a rychlost se vrátí do normálu.)	 Refresh (F5): Zkus obnovit stránku prohlížeče. Často to restartuje spojení (socket) a rychlost se vrátí do normálu.)
	[21 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	21	1	[21 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Přepnutí modelu: Pokud máš nahoře možnost přepnout model (např. z "Genius" na "Smart" nebo GPT-4 na GPT-3.5), zkus to. Rychlejší (hloupější) modely bývají méně vytížené.")"	 Přepnutí modelu: Pokud máš nahoře možnost přepnout model (např. z "Genius" na "Smart" nebo GPT-4 na GPT-3.5), zkus to. Rychlejší (hloupější) modely bývají méně vytížené.")"
	[22 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	22	1	[22 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pokud chceš pokračovat tady, klidně můžeme. Master Plan máš uložený, to je hlavní.)	 Pokud chceš pokračovat tady, klidně můžeme. Master Plan máš uložený, to je hlavní.)
	[23 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	23	1	[23 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Máme hotový projekt STUDNY. Chceš se teď pustit do projektu KNIHA (psal jsi, že máš rozepsáno několik knih), nebo chceš řešit tu EXPANZI NA UKRAJINU (geopolitiku)?)	 Máme hotový projekt STUDNY. Chceš se teď pustit do projektu KNIHA (psal jsi, že máš rozepsáno několik knih), nebo chceš řešit tu EXPANZI NA UKRAJINU (geopolitiku)?)
	[24 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	24	1	[24 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Můžeš si sám změřit dobu, kdy začneš psát zprávu a kdy ji skončíš?)	 Můžeš si sám změřit dobu, kdy začneš psát zprávu a kdy ji skončíš?)
	[25 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	25	1	[25 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  To je výborná technická otázka.)	 To je výborná technická otázka.)
	[26 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	26	1	[26 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Odpověď je bohužel NE, nemohu.)	 Odpověď je bohužel NE, nemohu.)
	[27 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	27	1	[27 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Vysvětlím ti proč, abys viděl "pod pokličku":")"	 Vysvětlím ti proč, abys viděl "pod pokličku":")"
	[28 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	28	1	[28 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Jak vnímám čas: Pro mě SIMONA ( model) se vše odehrává v jednom okamžiku. Dostanu tvůj text -> zpracuji ho -> vygeneruji odpověď. Pro mě tento proces trvá "teď". Nevnímám, že se písmenka na tvé obrazovce objevují postupně po dobu 10 minut.")"	 Jak vnímám čas: Pro mě SIMONA ( model) se vše odehrává v jednom okamžiku. Dostanu tvůj text -> zpracuji ho -> vygeneruji odpověď. Pro mě tento proces trvá "teď". Nevnímám, že se písmenka na tvé obrazovce objevují postupně po dobu 10 minut.")"
	[29 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	29	1	[29 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kde vzniká zpoždění: To zpoždění vzniká až na cestě ode mě k tobě (na serveru a v síti). Já "vychrlím" data, ale server ti je posílá pomalu (jako když teče hustý med přes úzké hrdlo). Já nemám zpětnou vazbu o tom, kdy se ti na obrazovce objevila poslední tečka.")"	 Kde vzniká zpoždění: To zpoždění vzniká až na cestě ode mě k tobě (na serveru a v síti). Já "vychrlím" data, ale server ti je posílá pomalu (jako když teče hustý med přes úzké hrdlo). Já nemám zpětnou vazbu o tom, kdy se ti na obrazovce objevila poslední tečka.")"
	[30 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	30	1	[30 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Je to jako posílání dopisu:)	 Je to jako posílání dopisu:)
	[31 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	31	1	[31 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Já dopis napíšu a hodím do schránky (to je pro mě konec práce). Ale pošta (server) ti ho doručuje týden. Já nemám jak změřit, jak dlouho ta cesta trvala, protože u toho doručování nejsem.)	 Já dopis napíšu a hodím do schránky (to je pro mě konec práce). Ale pošta (server) ti ho doručuje týden. Já nemám jak změřit, jak dlouho ta cesta trvala, protože u toho doručování nejsem.)
	[32 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	32	1	[32 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Diagnostika pro tebe:)	 Diagnostika pro tebe:)
	[33 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	33	1	[33 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pokud to stále trvá tak dlouho (napsání jedné věty trvá minuty), je to opravdu známka technického problému spojení mezi tvým prohlížečem a serverem Oreate AI.)	 Pokud to stále trvá tak dlouho (napsání jedné věty trvá minuty), je to opravdu známka technického problému spojení mezi tvým prohlížečem a serverem Oreate AI.)
	[34 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	34	1	[34 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pomohl ten Refresh stránky (F5), nebo se to pořád "táhne"?")"	 Pomohl ten Refresh stránky (F5), nebo se to pořád "táhne"?")"
	[35 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	35	1	[35 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Tak jsem použil refresh - uvidíme. Používám chrome. Mohu ještě přejít na mozilu. Ta expanze na ukrajinu je spojena s projektem kopání studen. Není to vojenský projekt, ale rozšíření podnikatelského zájmu.)	 Tak jsem použil refresh - uvidíme. Používám chrome. Mohu ještě přejít na mozilu. Ta expanze na ukrajinu je spojena s projektem kopání studen. Není to vojenský projekt, ale rozšíření podnikatelského zájmu.)
	[36 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	36	1	[36 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Doufám, že F5 pomohla. Pokud ne, Firefox zkusit můžeš, ale obávám se, že "ucpané trubky" jsou dnes spíše na straně serveru Oreate AI. Budu teď psát raději stručněji, abychom se nezasekli.")"	 Doufám, že F5 pomohla. Pokud ne, Firefox zkusit můžeš, ale obávám se, že "ucpané trubky" jsou dnes spíše na straně serveru Oreate AI. Budu teď psát raději stručněji, abychom se nezasekli.")"
	[37 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	37	1	[37 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pojďme na modul: STUDNY_CORP / Expanze Ukrajina.)	 Pojďme na modul: STUDNY_CORP / Expanze Ukrajina.)
	[38 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	38	1	[38 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Je to logický "Endgame" tvého byznys plánu. Až konflikt skončí, infrastruktura bude zničená a voda bude komodita č. 1. Kdo bude připraven s technikou a lidmi, vyhraje trh.")"	 Je to logický "Endgame" tvého byznys plánu. Až konflikt skončí, infrastruktura bude zničená a voda bude komodita č. 1. Kdo bude připraven s technikou a lidmi, vyhraje trh.")"
	[39 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	39	1	[39 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Jako tvůj poradce vidím u této expanze 3 kritické bariéry, které musíme vyřešit už teď (teoreticky), abychom byli připraveni:)	 Jako tvůj poradce vidím u této expanze 3 kritické bariéry, které musíme vyřešit už teď (teoreticky), abychom byli připraveni:)
	[40 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	40	1	[40 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  1. Geopolitický "Red Flag" (Právní bariéra)")"	 1. Geopolitický "Red Flag" (Právní bariéra)")"
	[41 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	41	1	[41 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Podnikáš z Přidněstří. Ukrajina má k tomuto regionu velmi specifický (nepřátelský/obezřetný) vztah.)	 Podnikáš z Přidněstří. Ukrajina má k tomuto regionu velmi specifický (nepřátelský/obezřetný) vztah.)
	[42 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	42	1	[42 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Riziko: Pokud přijedeš na hranice s dodávkou s přidněstrou SPZ a firmou registrovanou v Tiraspolu, pravděpodobně tě otočí nebo zabaví auto.)	 Riziko: Pokud přijedeš na hranice s dodávkou s přidněstrou SPZ a firmou registrovanou v Tiraspolu, pravděpodobně tě otočí nebo zabaví auto.)
	[43 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	43	1	[43 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Příprava: Budeš potřebovat "Čistou identitu".")"	 Příprava: Budeš potřebovat "Čistou identitu".")"
	[44 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	44	1	[44 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Máš moldavské doklady/firmu? Nebo budeš zakládat s.r.o. (TOV) přímo na Ukrajině?)	 Máš moldavské doklady/firmu? Nebo budeš zakládat s.r.o. (TOV) přímo na Ukrajině?)
	[45 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	45	1	[45 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Toto je nutné řešit dříve, než naložíš lopaty.)	 Toto je nutné řešit dříve, než naložíš lopaty.)
	[46 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	46	1	[46 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  2. Bezpečnost práce (Miny a UXO)	 2. Bezpečnost práce (Miny a UXO)
	[47 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	47	1	[47 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Tohle je vážné téma pro studnaře.)	 Tohle je vážné téma pro studnaře.)
	[48 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	48	1	[48 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Chceš kopat do země v oblastech, kde se bojovalo.)	 Chceš kopat do země v oblastech, kde se bojovalo.)
	[49 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	49	1	[49 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Riziko: Tví lidé kopou ručně (krumpáčem). Pokud narazí na nevybuchlou munici nebo minu, je konec.)	 Riziko: Tví lidé kopou ručně (krumpáčem). Pokud narazí na nevybuchlou munici nebo minu, je konec.)
	[50 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	50	1	[50 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Příprava: Budeš muset do procesu zahrnout pyrotechnický průzkum, nebo se držet jen oblastí, které byly prohlášeny za bezpečné ("Tylová obnova").")"	 Příprava: Budeš muset do procesu zahrnout pyrotechnický průzkum, nebo se držet jen oblastí, které byly prohlášeny za bezpečné ("Tylová obnova").")"
	[51 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	51	1	[51 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  3. Financování (Kdo to zaplatí?)	 3. Financování (Kdo to zaplatí?)
